frame,measured_x,measured_y,kalman_x,kalman_y,loop_ms
1,64.5,144.5,60.0,145.0,0.6073999975342304
2,63.5,154.0,61.35942077636719,144.8489532470703,0.3716999926837161
3,59.5,150.0,62.84587860107422,149.23574829101562,0.41980000969488174
4,60.0,162.0,61.74787902832031,150.9073486328125,0.6906000053277239
5,69.5,160.0,61.103458404541016,158.26834106445312,0.78449999273289
6,78.5,159.0,65.4403076171875,161.7357635498047,0.7011999987298623
7,67.0,164.0,72.37384033203125,163.22035217285156,0.9372999920742586
8,81.5,156.5,71.93850708007812,166.099853515625,0.9606999956304207
9,83.0,150.5,77.3121566772461,164.82565307617188,1.3559000071836635
10,86.5,142.5,81.5795669555664,161.35853576660156,1.5382000128738582
11,105.5,170.5,85.79808807373047,155.6244659423828,2.2622000105911866
12,132.0,180.0,95.5589599609375,161.23208618164062,1.4994999946793541
13,173.0,185.0,112.15830993652344,168.89947509765625,1.9409000087762251
14,209.5,180.0,139.07102966308594,176.5208740234375,2.8861000027973205
15,198.5,180.0,172.32484436035156,180.5120849609375,2.8669000021182
16,223.0,180.0,193.63365173339844,183.281982421875,4.46630000078585
17,191.0,180.0,217.38906860351562,185.0570831298828,3.9803000108804554
18,218.0,180.0,223.1331329345703,186.04269409179688,4.887599992798641
19,260.0,180.0,234.9672088623047,186.42294311523438,0.981999997748062
20,310.5,181.0,257.1141662597656,186.35874938964844,1.7183000018121675
21,320.0,180.0,290.49658203125,186.3373565673828,1.6306000034091994
22,320.0,180.0,318.242431640625,185.6969757080078,1.750199997331947
23,320.0,181.0,337.7647399902344,184.9558868408203,1.3273000076878816
24,320.0,180.0,350.5246276855469,184.5336151123047,2.296899998327717
25,320.0,180.0,357.8948974609375,183.70570373535156,1.9518999906722456
26,326.0,180.0,361.1138916015625,182.93600463867188,1.2560999894049019
27,332.0,180.0,363.3670654296875,182.24652099609375,1.296100002946332
28,337.0,180.0,365.1359558105469,181.64857482910156,0.5869000015081838
29,333.0,185.0,366.4315185546875,181.1453399658203,1.583100005518645
30,320.0,180.0,364.4273681640625,182.48861694335938,1.781200000550598
31,320.0,180.0,356.85205078125,181.80372619628906,0.6303999980445951
32,320.0,180.0,349.6580810546875,181.2316131591797,0.6901000015204772
33,324.0,180.0,343.0997619628906,180.767822265625,0.5974999949103221
34,320.0,180.0,338.72607421875,180.40362548828125,0.6990999972913414
35,320.0,180.0,333.5046691894531,180.12786865234375,0.7314999966183677
36,320.0,184.0,329.15557861328125,179.9281768798828,0.8553999941796064
37,320.0,180.0,325.64031982421875,181.19544982910156,2.670900008524768
38,320.0,180.0,322.88922119140625,180.82330322265625,1.5508999931626022
39,321.0,180.0,320.8143005371094,180.5204620361328,1.2990999966859818
40,325.0,180.0,319.6701965332031,180.28167724609375,2.5696000084280968
41,325.0,180.0,320.34051513671875,180.10000610351562,1.34529999922961
42,323.0,180.0,321.04876708984375,179.96763610839844,2.190700004575774
43,320.0,183.0,321.04559326171875,179.8765869140625,4.513299994869158
44,320.0,183.0,320.0909423828125,180.87173461914062,1.7732999986037612
45,320.0,188.0,319.41766357421875,181.67779541015625,1.8636000022524968
46,320.0,185.0,318.9759216308594,184.06443786621094,1.7779999907361344
47,320.0,182.0,318.7190246582031,184.88510131835938,1.6278999974019825
48,324.0,180.0,318.604736328125,184.41317749023438,1.864899997599423
49,339.0,180.0,319.99969482421875,183.2572479248047,2.0330999977886677
50,320.0,180.0,326.44464111328125,182.2807159423828,3.676300009828992
51,320.0,180.0,324.9356384277344,181.47988891601562,1.7073999915737659
52,320.0,180.0,323.62579345703125,180.84317016601562,1.560000004246831
53,320.0,180.0,322.5225830078125,180.35400390625,1.4685999922221527
54,322.0,180.0,321.6206359863281,179.99325561523438,1.6524999955436215
55,320.0,180.0,321.60760498046875,179.74093627929688,1.7160999996121973
56,325.0,183.0,320.9168701171875,179.57749938964844,1.1988000042038038
57,320.0,180.0,322.140380859375,180.5372772216797,2.2753999946871772
58,320.0,180.0,321.3895568847656,180.28309631347656,1.3786000054096803
59,324.0,183.0,320.7925109863281,180.09056091308594,1.4722000050824136
60,320.0,180.0,321.7371520996094,181.00367736816406,2.346999986912124
61,320.0,180.0,321.1112976074219,180.6929168701172,1.9812999962596223
